# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  168       6.627207603116e-10       1.276219424494e-13      -5.786413494995e-12       0.000000000000e+00 
  169       6.664817195917e-10       1.261853299765e-13      -5.728896492603e-12       0.000000000000e+00 
  170       6.701933174546e-10       1.247294152407e-13      -5.667688576405e-12       0.000000000000e+00 
  171       6.738541178319e-10       1.232574281602e-13      -5.602782959558e-12       0.000000000000e+00 
  172       6.774630522519e-10       1.217723393194e-13      -5.534172321988e-12       0.000000000000e+00 
  173       6.810191416180e-10       1.202771332125e-13      -5.461850826830e-12       0.000000000000e+00 
  174       6.845214004010e-10       1.187749031207e-13      -5.385814838960e-12       0.000000000000e+00 
  175       6.879688365417e-10       1.172688524029e-13      -5.306062962518e-12       0.000000000000e+00 
  176       6.913604513538e-10       1.157622957852e-13      -5.222596078438e-12       0.000000000000e+00 
  177       6.946952394264e-10       1.142586606521e-13      -5.135417381972e-12       0.000000000000e+00 
  178       6.979721885272e-10       1.127614883360e-13      -5.044532420219e-12       0.000000000000e+00 
  179       7.011902795050e-10       1.112744354078e-13      -4.949949129648e-12       0.000000000000e+00 
  180       7.043484861926e-10       1.098012749673e-13      -4.851677873631e-12       0.000000000000e+00 
  181       7.074457753094e-10       1.083458979333e-13      -4.749731479964e-12       0.000000000000e+00 
  182       7.104811063645e-10       1.069123143338e-13      -4.644125278395e-12       0.000000000000e+00 
  183       7.134534315589e-10       1.055046545965e-13      -4.534877138153e-12       0.000000000000e+00 
  184       7.163616956891e-10       1.041271708387e-13      -4.422007505473e-12       0.000000000000e+00 
  185       7.192048360492e-10       1.027842381581e-13      -4.305539441120e-12       0.000000000000e+00 
  186       7.219817823340e-10       1.014803559225e-13      -4.185498657924e-12       0.000000000000e+00 
  187       7.246914565415e-10       1.002201490606e-13      -4.061913558295e-12       0.000000000000e+00 
  188       7.273327728760e-10       9.900836935189e-14      -3.934815271761e-12       0.000000000000e+00 
  189       7.299046376509e-10       9.784989671703e-14      -3.804237692486e-12       0.000000000000e+00 
  190       7.324059491910e-10       9.674974050822e-14      -3.670217516803e-12       0.000000000000e+00 
  191       7.348356720630e-10       9.571283451425e-14      -3.532792116264e-12       0.000000000000e+00 
  192       7.371930661848e-10       9.474340211515e-14      -3.391992900435e-12       0.000000000000e+00 
  193       7.394774747535e-10       9.384554588321e-14      -3.247851527349e-12       0.000000000000e+00 
  194       7.416882516087e-10       9.302345019695e-14      -3.100402053444e-12       0.000000000000e+00 
