# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       4.801104169789e+05       3.271792308608e-09       9.638020651528e-01       4.990237247190e+05       1.416885589661e+04       2.951159959030e-02       6.802629481492e+09       5.562549473089e-01       1.461999439471e+11       2.756126259367e+08       1.478954530697e+09       3.462620761484e-08       1.010701667286e+11       2.490246778324e+11       2.490246778324e+11       8.242337022525e+10      -3.426806008698e+11       2.144285119632e-04       6.023111228731e-02 
       4.797236390963e+05       3.277063984626e-09       9.645777580772e-01       4.982214363982e+05       1.416885512092e+04       2.953539169389e-02       6.797148909291e+09       5.567024774346e-01       1.457293980851e+11       2.749470615939e+08       1.475383070947e+09       3.462620761484e-08       1.007448714690e+11       2.482245996867e+11       2.482245996867e+11       8.215808985138e+10      -3.413034745482e+11       2.144389214209e-04       6.023653815202e-02 
       4.793371728021e+05       3.282344149641e-09       9.653540741983e-01       4.974204390601e+05       1.416885434460e+04       2.955920297725e-02       6.791672752242e+09       5.571503668536e-01       1.452603666793e+11       2.742831044920e+08       1.471820235751e+09       3.462620761484e-08       1.004206231752e+11       2.474270931948e+11       2.474270931948e+11       8.189366328484e+10      -3.399318832402e+11       2.144493323222e-04       6.024197015877e-02 
       4.789510178453e+05       3.287632817310e-09       9.661310140145e-01       4.966207306264e+05       1.416885356766e+04       2.958303345585e-02       6.786201006787e+09       5.575986158533e-01       1.447928448554e+11       2.736207507499e+08       1.468266004284e+09       3.462620761484e-08       1.000974184774e+11       2.466321500879e+11       2.466321500879e+11       8.163008777762e+10      -3.385658046966e+11       2.144597446684e-04       6.024740831218e-02 
       4.785651739750e+05       3.292930001313e-09       9.669085780261e-01       4.958223090221e+05       1.416885279010e+04       2.960688314515e-02       6.780733669373e+09       5.580472247210e-01       1.443268277548e+11       2.729599964955e+08       1.464720355768e+09       3.462620761484e-08       9.977525401699e+10       2.458397621241e+11       2.458397621241e+11       8.136736059060e+10      -3.372052167580e+11       2.144701584606e-04       6.025285261689e-02 
       4.781796409406e+05       3.298235715352e-09       9.676867667313e-01       4.950251721758e+05       1.416885201191e+04       2.963075206064e-02       6.775270736449e+09       5.584961937444e-01       1.438623105345e+11       2.723008378664e+08       1.461183269477e+09       3.462620761484e-08       9.945412644582e+10       2.450499210877e+11       2.450499210877e+11       8.110547899344e+10      -3.358500973535e+11       2.144805737000e-04       6.025830307752e-02 
       4.777944184918e+05       3.303549973155e-09       9.684655806304e-01       4.942293180190e+05       1.416885123310e+04       2.965464021782e-02       6.769812204466e+09       5.589455232116e-01       1.433992883671e+11       2.716432710094e+08       1.457654724733e+09       3.462620761484e-08       9.913403242669e+10       2.442626187895e+11       2.442626187895e+11       8.084444026460e+10      -3.345004245016e+11       2.144909903880e-04       6.026375969872e-02 
       4.774095063782e+05       3.308872788476e-09       9.692450202238e-01       4.934347444870e+05       1.416885045366e+04       2.967854763220e-02       6.764358069878e+09       5.593952134105e-01       1.429377564408e+11       2.709872920805e+08       1.454134700911e+09       3.462620761484e-08       9.881496863309e+10       2.434778470669e+11       2.434778470669e+11       8.058424169131e+10      -3.331561763086e+11       2.145014085258e-04       6.026922248513e-02 
       4.770249043500e+05       3.314204175072e-09       9.700250860151e-01       4.926414495180e+05       1.416884967359e+04       2.970247431929e-02       6.758908329144e+09       5.598452646296e-01       1.424777099593e+11       2.703328972452e+08       1.450623177434e+09       3.462620761484e-08       9.849693174925e+10       2.426955977832e+11       2.426955977832e+11       8.032488056952e+10      -3.318173309691e+11       2.145118281144e-04       6.027469144139e-02 
       4.766406121572e+05       3.319544146734e-09       9.708057785010e-01       4.918494310539e+05       1.416884889290e+04       2.972642029464e-02       6.753462978723e+09       5.602956771575e-01       1.420191441416e+11       2.696800826781e+08       1.447120133775e+09       3.462620761484e-08       9.817991847003e+10       2.419158628281e+11       2.419158628281e+11       8.006635420388e+10      -3.304838667653e+11       2.145222491553e-04       6.028016657215e-02 
       4.762566295503e+05       3.324892717273e-09       9.715870981872e-01       4.910586870397e+05       1.416884811158e+04       2.975038557379e-02       6.748022015080e+09       5.607464512830e-01       1.415620542222e+11       2.690288445631e+08       1.443625549456e+09       3.462620761484e-08       9.786392550096e+10       2.411386341172e+11       2.411386341172e+11       7.980865990772e+10      -3.291557620667e+11       2.145326716497e-04       6.028564788206e-02 
       4.758729562800e+05       3.330249900525e-09       9.723690455758e-01       4.902692154237e+05       1.416884732963e+04       2.977437017229e-02       6.742585434679e+09       5.611975872951e-01       1.411064354509e+11       2.683791790933e+08       1.440139404049e+09       3.462620761484e-08       9.754894955817e+10       2.403639035922e+11       2.403639035922e+11       7.955179500302e+10      -3.278329953298e+11       2.145430955986e-04       6.029113537577e-02 
       4.754895920969e+05       3.335615710346e-09       9.731516211650e-01       4.894810141576e+05       1.416884654706e+04       2.979837410573e-02       6.737153233990e+09       5.616490854831e-01       1.406522830928e+11       2.677310824709e+08       1.436661677175e+09       3.462620761484e-08       9.723498736834e+10       2.395916632207e+11       2.395916632207e+11       7.929575682037e+10      -3.265155450977e+11       2.145535210035e-04       6.029662905795e-02 
       4.751065367520e+05       3.340990160614e-09       9.739348254625e-01       4.886940811963e+05       1.416884576385e+04       2.982239738968e-02       6.731725409484e+09       5.621009461366e-01       1.401995924282e+11       2.670845509075e+08       1.433192348505e+09       3.462620761484e-08       9.692203566870e+10       2.388219049963e+11       2.388219049963e+11       7.904054269896e+10      -3.252033899996e+11       2.145639478655e-04       6.030212893325e-02 
       4.747237899967e+05       3.346373265231e-09       9.747186589684e-01       4.879084144981e+05       1.416884498002e+04       2.984644003975e-02       6.726301957636e+09       5.625531695453e-01       1.397483587527e+11       2.664395806236e+08       1.429731397758e+09       3.462620761484e-08       9.661009120698e+10       2.380546209380e+11       2.380546209380e+11       7.878614998655e+10      -3.238965087508e+11       2.145743761858e-04       6.030763500635e-02 
       4.743413515823e+05       3.351765038119e-09       9.755031221885e-01       4.871240120245e+05       1.416884419556e+04       2.987050207154e-02       6.720882874923e+09       5.630057559992e-01       1.392985773769e+11       2.657961678490e+08       1.426278804704e+09       3.462620761484e-08       9.629915074138e+10       2.372898030908e+11       2.372898030908e+11       7.853257603942e+10      -3.225948801521e+11       2.145848059658e-04       6.031314728190e-02 
       4.739592212603e+05       3.357165493225e-09       9.762882156247e-01       4.863408717403e+05       1.416884341046e+04       2.989458350067e-02       6.715468157826e+09       5.634587057884e-01       1.388502436266e+11       2.651543088225e+08       1.422834549158e+09       3.462620761484e-08       9.598921104051e+10       2.365274435251e+11       2.365274435251e+11       7.827981822236e+10      -3.212984830896e+11       2.145952372065e-04       6.031866576459e-02 
