# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       9.771241534347e+09       7.917618804549e-18       4.744041325466e-05       2.059687425644e+14       1.417455626984e+04       1.450640250634e-06       1.385030129690e+14       2.738973523722e-05       2.508291849135e+28       2.322062069910e+21       1.245630077734e+22       3.463959279501e-08       1.734018964384e+28       4.242312291355e+28       4.242312291355e+28       1.414103604506e+28      -1.192319891888e+33       1.053106274316e-04       1.027385681824e-01 
       9.763369819621e+09       7.930391107301e-18       4.747866296384e-05       2.056370193200e+14       1.417455626980e+04       1.451809829006e-06       1.383914349053e+14       2.741181820279e-05       2.500218888787e+28       2.316454628269e+21       1.242622062549e+22       3.463959279501e-08       1.728438008425e+28       4.228658371480e+28       4.228658371480e+28       1.409552299071e+28      -1.187524957804e+33       1.053193471067e-04       1.027300625839e-01 
       9.755504446351e+09       7.943184013681e-18       4.751694177685e-05       2.053058303329e+14       1.417455626976e+04       1.452980350351e-06       1.382799467289e+14       2.743391897274e-05       2.492171911337e+28       2.310860727783e+21       1.239621311283e+22       3.463959279501e-08       1.722875014825e+28       4.215048396870e+28       4.215048396870e+28       1.405015642054e+28      -1.182749306628e+33       1.053280667817e-04       1.027215583940e-01 
       9.747645409428e+09       7.955997556926e-18       4.755525333167e-05       2.049751747428e+14       1.417455626972e+04       1.454151815428e-06       1.381685483674e+14       2.745603756143e-05       2.484150833158e+28       2.305280335751e+21       1.236627806393e+22       3.463959279501e-08       1.717329925771e+28       4.201482226085e+28       4.201482226085e+28       1.400493586310e+28      -1.177992860811e+33       1.053367864569e-04       1.027130556124e-01 
       9.739792703747e+09       7.968831770324e-18       4.759359399031e-05       2.046450516905e+14       1.417455626969e+04       1.455324224999e-06       1.380572397485e+14       2.747817398322e-05       2.476155570893e+28       2.299713419554e+21       1.233641530382e+22       3.463959279501e-08       1.711802683636e+28       4.187959718142e+28       4.187959718142e+28       1.395986084843e+28      -1.173255543119e+33       1.053455061320e-04       1.027045542387e-01 
       9.731946324208e+09       7.981686687234e-18       4.763196739077e-05       2.043154603184e+14       1.417455626965e+04       1.456497579824e-06       1.379460207999e+14       2.750032825250e-05       2.468186041452e+28       2.294159946648e+21       1.230662465792e+22       3.463959279501e-08       1.706293230982e+28       4.174480732512e+28       4.174480732512e+28       1.391493090811e+28      -1.168537276629e+33       1.053542258072e-04       1.026960542726e-01 
       9.724106265714e+09       7.994562341069e-18       4.767036989506e-05       2.039863997701e+14       1.417455626961e+04       1.457671880667e-06       1.378348914492e+14       2.752250038364e-05       2.460242162015e+28       2.288619884570e+21       1.227690595209e+22       3.463959279501e-08       1.700801510551e+28       4.161045129119e+28       4.161045129119e+28       1.387014557522e+28      -1.163837984725e+33       1.053629454824e-04       1.026875557137e-01 
       9.716272523174e+09       8.007458765258e-18       4.770880332217e-05       2.036578691908e+14       1.417455626957e+04       1.458847128290e-06       1.377238516244e+14       2.754469039106e-05       2.452323850027e+28       2.283093200935e+21       1.224725901261e+22       3.463959279501e-08       1.695327465273e+28       4.147652768335e+28       4.147652768335e+28       1.382550438433e+28      -1.159157591102e+33       1.053716651577e-04       1.026790585617e-01 
       9.708445091498e+09       8.020375993307e-18       4.774726949108e-05       2.033298677269e+14       1.417455626953e+04       1.460023323455e-06       1.376129012533e+14       2.756689828916e-05       2.444431023199e+28       2.277579863436e+21       1.221768366617e+22       3.463959279501e-08       1.689871038260e+28       4.134303510985e+28       4.134303510985e+28       1.378100687153e+28      -1.154496019758e+33       1.053803848330e-04       1.026705628162e-01 
       9.700623965603e+09       8.033314058776e-18       4.778576476383e-05       2.030023945263e+14       1.417455626949e+04       1.461200466928e-06       1.375020402638e+14       2.758912409237e-05       2.436563599507e+28       2.272079839843e+21       1.218817973988e+22       3.463959279501e-08       1.684432172807e+28       4.120997218339e+28       4.120997218339e+28       1.373665257438e+28      -1.149853195000e+33       1.053891045083e-04       1.026620684768e-01 
