# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.770133229254e+06       2.411569068245e-10       2.617504254431e-01       6.765989298819e+06       1.399410819892e+04       7.905676285816e-03       2.477144993080e+10       1.511072006527e-01       2.701493161608e+13       1.380521512879e+10       7.405569134802e+10       4.183432630307e-08       1.867581866918e+13       4.577861119173e+13       4.577861119173e+13       1.523025009509e+13      -2.328585198991e+14       2.052517711924e-04       5.705383276570e-02 
       1.768707208658e+06       2.415458232057e-10       2.619613606821e-01       6.755097550822e+06       1.399410798799e+04       7.912050116286e-03       2.475149367120e+10       1.512289608241e-01       2.692798381063e+13       1.377187754528e+10       7.387685764120e+10       4.183432630307e-08       1.861571037531e+13       4.563134292113e+13       4.563134292113e+13       1.518123139531e+13      -2.319222549315e+14       2.052612089301e-04       5.705348730725e-02 
       1.767282336864e+06       2.419353663522e-10       2.621724658202e-01       6.744223340333e+06       1.399410777688e+04       7.918429085464e-03       2.473155348837e+10       1.513508190478e-01       2.684131584749e+13       1.373862046718e+10       7.369845579174e+10       4.183432630307e-08       1.855579554054e+13       4.548454846429e+13       4.548454846429e+13       1.513237046268e+13      -2.309897545914e+14       2.052706470447e-04       5.705314371109e-02 
       1.765858612948e+06       2.423255372636e-10       2.623837409901e-01       6.733366639108e+06       1.399410756561e+04       7.924813197491e-03       2.471162936936e+10       1.514727754025e-01       2.675492682598e+13       1.370544370007e+10       7.352048475675e+10       4.183432630307e-08       1.849607354222e+13       4.533822629665e+13       4.533822629665e+13       1.508366678940e+13      -2.300610037411e+14       2.052800855366e-04       5.705280197842e-02 
       1.764436035984e+06       2.427163369406e-10       2.625951863301e-01       6.722527418953e+06       1.399410735416e+04       7.931202456515e-03       2.469172130122e+10       1.515948299671e-01       2.666881584833e+13       1.367234705002e+10       7.334294349589e+10       4.183432630307e-08       1.843654375970e+13       4.519237489857e+13       4.519237489857e+13       1.503511986934e+13      -2.291359873038e+14       2.052895244060e-04       5.705246211046e-02 
       1.763014605048e+06       2.431077663857e-10       2.628068019767e-01       6.711705651716e+06       1.399410714255e+04       7.937596866684e-03       2.467182927103e+10       1.517169828204e-01       2.658298201965e+13       1.363933032357e+10       7.316583097131e+10       4.183432630307e-08       1.837720557433e+13       4.504699275527e+13       4.504699275527e+13       1.498672919799e+13      -2.282146902634e+14       2.052989636534e-04       5.705212410843e-02 
       1.761594319218e+06       2.434998266027e-10       2.630185880680e-01       6.700901309292e+06       1.399410693076e+04       7.943996432151e-03       2.465195326586e+10       1.518392340412e-01       2.649742444794e+13       1.360639332770e+10       7.298914614767e+10       4.183432630307e-08       1.831805836945e+13       4.490207835687e+13       4.490207835687e+13       1.493849427246e+13      -2.272970976641e+14       2.053084032789e-04       5.705178797352e-02 
       1.760175177570e+06       2.438925185969e-10       2.632305447369e-01       6.690114363620e+06       1.399410671880e+04       7.950401157073e-03       2.463209327281e+10       1.519615837087e-01       2.641214224406e+13       1.357353586987e+10       7.281288799215e+10       4.183432630307e-08       1.825910153039e+13       4.475763019832e+13       4.475763019832e+13       1.489041459149e+13      -2.263831946102e+14       2.053178432830e-04       5.705145370696e-02 
       1.758757179183e+06       2.442858433750e-10       2.634426721252e-01       6.679344786687e+06       1.399410650668e+04       7.956811045608e-03       2.461224927897e+10       1.520840319019e-01       2.632713452174e+13       1.354075775802e+10       7.263705547440e+10       4.183432630307e-08       1.820033444447e+13       4.461364677944e+13       4.461364677944e+13       1.484248965540e+13      -2.254729662660e+14       2.053272836659e-04       5.705112130995e-02 
       1.757340323136e+06       2.446798019454e-10       2.636549703675e-01       6.668592550521e+06       1.399410629438e+04       7.963226101920e-03       2.459242127147e+10       1.522065786998e-01       2.624240039755e+13       1.350805880053e+10       7.246164756656e+10       4.183432630307e-08       1.814175650094e+13       4.447012660486e+13       4.447012660486e+13       1.479471896616e+13      -2.245663978555e+14       2.053367244280e-04       5.705079078371e-02 
       1.755924608508e+06       2.450743953178e-10       2.638674396003e-01       6.657857627198e+06       1.399410608191e+04       7.969646330175e-03       2.457260923740e+10       1.523292241816e-01       2.615793899092e+13       1.347543880627e+10       7.228666324327e+10       4.183432630307e-08       1.808336709107e+13       4.432706818404e+13       4.432706818404e+13       1.474710202733e+13      -2.236634746620e+14       2.053461655697e-04       5.705046212944e-02 
       1.754510034381e+06       2.454696245034e-10       2.640800799618e-01       6.647139988838e+06       1.399410586927e+04       7.976071734543e-03       2.455281316392e+10       1.524519684266e-01       2.607374942410e+13       1.344289758453e+10       7.211210148163e+10       4.183432630307e-08       1.802516560805e+13       4.418447003122e+13       4.418447003122e+13       1.469963834405e+13      -2.227641820279e+14       2.053556070911e-04       5.705013534837e-02 
       1.753096599835e+06       2.458654905149e-10       2.642928915902e-01       6.636439607607e+06       1.399410565646e+04       7.982502319196e-03       2.453303303817e+10       1.525748115140e-01       2.598983082217e+13       1.341043494511e+10       7.193796126122e+10       4.183432630307e-08       1.796715144704e+13       4.404233066542e+13       4.404233066542e+13       1.465232742307e+13      -2.218685053548e+14       2.053650489927e-04       5.704981044169e-02 
