# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       3.218590579185e-03       3.096950000000e+02       6.584714008948e+02       4.269731440059e-04       1.603200791676e-05       9.439600448201e-01       1.513357491166e-05       7.992598600575e+02       2.969699132409e+00       5.992449890373e-11       8.298357327679e-11       1.506230405797e-03 
       3.213445054106e-03       3.101925000000e+02       6.577830294663e+02       4.274328112111e-04       1.610070641427e-05       9.439496050584e-01       1.519825546091e-05       8.007371429473e+02       2.969124698528e+00       6.003528367037e-11       8.312682366903e-11       1.511299315331e-03 
       3.208315954955e-03       3.106900000000e+02       6.570963566289e+02       4.278932197681e-04       1.616962595195e-05       9.439391465720e-01       1.526314292147e-05       8.022141399348e+02       2.968551001961e+00       6.014604713676e-11       8.327004426357e-11       1.516385497386e-03 
       3.203203203203e-03       3.111875000000e+02       6.564113755656e+02       4.283543719687e-04       1.623876715072e-05       9.439286693347e-01       1.532823786821e-05       8.036908514285e+02       2.967978052062e+00       6.025678933385e-11       8.341323519193e-11       1.521488994261e-03 
       3.198106720821e-03       3.116850000000e+02       6.557280794973e+02       4.288162701131e-04       1.630813063376e-05       9.439181733204e-01       1.539354087809e-05       8.051672778386e+02       2.967405857971e+00       6.036751029272e-11       8.355639658460e-11       1.526609848358e-03 
       3.193026430276e-03       3.121825000000e+02       6.550464616826e+02       4.292789165098e-04       1.637771702657e-05       9.439076585028e-01       1.545905253017e-05       8.066434195772e+02       2.966834428612e+00       6.047821004461e-11       8.369952857094e-11       1.531748102186e-03 
       3.187962254527e-03       3.126800000000e+02       6.543665154180e+02       4.297423134752e-04       1.644752695690e-05       9.438971248554e-01       1.552477340560e-05       8.081192770582e+02       2.966263772702e+00       6.058888862088e-11       8.384263127928e-11       1.536903798362e-03 
       3.182914117020e-03       3.131775000000e+02       6.536882340369e+02       4.302064633342e-04       1.651756105486e-05       9.438865723519e-01       1.559070408768e-05       8.095948506974e+02       2.965693898748e+00       6.069954605303e-11       8.398570483689e-11       1.542076979606e-03 
       3.177881941686e-03       3.136750000000e+02       6.530116109099e+02       4.306713684200e-04       1.658781995283e-05       9.438760009657e-01       1.565684516181e-05       8.110701409124e+02       2.965124815057e+00       6.081018237270e-11       8.412874937000e-11       1.547267688749e-03 
       3.172865652936e-03       3.141725000000e+02       6.523366394443e+02       4.311370310736e-04       1.665830428554e-05       9.438654106701e-01       1.572319721554e-05       8.125451481223e+02       2.964556529733e+00       6.092079761167e-11       8.427176500380e-11       1.552475968727e-03 
