# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       1.635847972469e-04       6.112037500000e+03       6.747262745817e+01       1.145961572538e+00       1.665723855133e+01      1.828744943471e-287      3.046184077293e-286       1.666108287047e+04       2.725502330306e+00       2.571366455121e-09       3.428489382664e-09       3.763864777941e+03 
       1.635714852373e-04       6.112535000000e+03       6.746768179291e+01       1.146002133519e+00       1.666053958243e+01      1.684115700599e-287      2.805827629122e-286       1.666243880681e+04       2.725502347112e+00       2.571622541996e-09       3.428830837186e-09       3.764607179231e+03 
       1.635581753941e-04       6.113032500000e+03       6.746273686055e+01       1.146042621169e+00       1.666383995989e+01      1.550918316596e-287      2.584425461861e-286       1.666379474316e+04       2.725502366950e+00       2.571878551839e-09       3.429172189952e-09       3.765349677996e+03 
       1.635448677167e-04       6.113530000000e+03       6.745779266092e+01       1.146083035515e+00       1.666713968358e+01      1.428249700983e-287      2.380483726931e-286       1.666515067950e+04       2.725502377865e+00       2.572134484658e-09       3.429513437215e-09       3.766092274196e+03 
       1.635315622047e-04       6.114027500000e+03       6.745284919388e+01       1.146123376583e+00       1.667043875339e+01      1.315278064211e-287      2.192626241312e-286       1.666650661585e+04       2.725502391633e+00       2.572390340463e-09       3.429854582690e-09       3.766834967789e+03 
       1.635182588576e-04       6.114525000000e+03       6.744790645924e+01       1.146163644400e+00       1.667373716923e+01      1.211237291602e-287      2.019585224973e-286       1.666786255219e+04       2.725502408165e+00       2.572646119264e-09       3.430195626364e-09       3.767577758731e+03 
       1.635049576747e-04       6.115022500000e+03       6.744296445684e+01       1.146203838994e+00       1.667703493098e+01      1.115421760953e-287      1.860192767019e-286       1.666921848854e+04       2.725502415501e+00       2.572901821073e-09       3.430536564489e-09       3.768320646982e+03 
       1.634916586556e-04       6.115520000000e+03       6.743802318653e+01       1.146243960392e+00       1.668033203856e+01      1.027181568839e-287      1.713372963211e-286       1.667057442488e+04       2.725502413544e+00       2.573157445901e-09       3.430877397049e-09       3.769063632499e+03 
       1.634783617997e-04       6.116017500000e+03       6.743308264813e+01       1.146284008623e+00       1.668362849189e+01      9.459181333903e-288      1.578134672122e-286       1.667193036122e+04       2.725502425949e+00       2.573412993761e-09       3.431218131504e-09       3.769806715241e+03 
       1.634650671065e-04       6.116515000000e+03       6.742814284148e+01       1.146323983716e+00       1.668692429090e+01      8.710801439077e-288      1.453564841269e-286       1.667328629757e+04       2.725502428876e+00       2.573668464666e-09       3.431558760370e-09       3.770549895165e+03 
       1.634517745755e-04       6.117012500000e+03       6.742320376643e+01       1.146363885701e+00       1.669021943552e+01      8.021598299321e-288      1.338822358393e-286       1.667464223391e+04       2.725502434107e+00       2.573923858629e-09       3.431899287373e-09       3.771293172229e+03 
       1.634384842061e-04       6.117510000000e+03       6.741826542280e+01       1.146403714609e+00       1.669351392571e+01      7.386895246192e-288      1.233132386601e-286       1.667599817026e+04       2.725502441547e+00       2.574179175665e-09       3.432239712502e-09       3.772036546392e+03 
       1.634251959979e-04       6.118007500000e+03       6.741332781042e+01       1.146443470470e+00       1.669680776141e+01      6.802384992025e-288      1.135781145309e-286       1.667735410660e+04       2.725502427346e+00       2.574434415789e-09       3.432580028268e-09       3.772780017611e+03 
       1.634119099502e-04       6.118505000000e+03       6.740839092915e+01       1.146483153315e+00       1.670010094258e+01      6.264100471764e-288      1.046111101929e-286       1.667871004295e+04       2.725502438923e+00       2.574689579016e-09       3.432920249622e-09       3.773523585845e+03 
       1.633986260627e-04       6.119002500000e+03       6.740345477880e+01       1.146522763177e+00       1.670339346920e+01      5.768387985144e-288      9.635165419885e-287       1.668006597929e+04       2.725502440547e+00       2.574944665364e-09       3.433260365335e-09       3.774267251051e+03 
